% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
-2049, 1213, TE, 1550, device, ring, r49.3, w0.5, g0.153, b50
-2049, 703, TE, 1550, device, ring, r24.7, w0.5, g0.118, b50
-1650, 1446, TE, 1310, device, William, ori, splitter124
-2389, 703, TE, 1550, device, ring, r18.8, w0.5, g0.175, b50
-1650, 946, TE, 1310, device, William, ori, splitter123
-2559, 703, TE, 1550, device, ring, r20.4, w0.5, g0.174, b50
-2049, 1553, TE, 1550, device, ring, r40.0, w0.5, g0.115, b50
-1879, 1043, TE, 1550, device, ring, r27.0, w0.5, g0.143, b50
-2049, 873, TE, 1550, device, ring, r23.4, w0.5, g0.138, b50
-2389, 1383, TE, 1550, device, ring, r42.2, w0.5, g0.156, b50
-2219, 1553, TE, 1550, device, ring, r33.7, w0.5, g0.142, b50
-2559, 873, TE, 1550, device, ring, r24.9, w0.5, g0.128, b50
-2389, 873, TE, 1550, device, ring, r32.0, w0.5, g0.146, b50
-1879, 1213, TE, 1550, device, ring, r28.4, w0.5, g0.125, b50
-2219, 873, TE, 1550, device, ring, r32.9, w0.5, g0.132, b50
-2559, 1383, TE, 1550, device, ring, r41.4, w0.5, g0.11, b50
-1879, 1553, TE, 1550, device, ring, r26.2, w0.5, g0.158, b50
-2049, 1383, TE, 1550, device, ring, r5.0, w0.5, g0.119, b50
-2049, 1043, TE, 1550, device, ring, r10.1, w0.5, g0.17, b50
-2559, 1043, TE, 1550, device, ring, r49.0, w0.5, g0.117, b50
-1879, 1383, TE, 1550, device, ring, r33.7, w0.5, g0.102, b50
-2389, 1213, TE, 1550, device, ring, r41.5, w0.5, g0.151, b50
-2219, 703, TE, 1550, device, ring, r8.0, w0.5, g0.112, b50
-2389, 1043, TE, 1550, device, ring, r41.8, w0.5, g0.155, b50
-2219, 1213, TE, 1550, device, ring, r17.6, w0.5, g0.118, b50
-2219, 1043, TE, 1550, device, ring, r5.3, w0.5, g0.149, b50
-2219, 1383, TE, 1550, device, ring, r36.6, w0.5, g0.175, b50
-2559, 1213, TE, 1550, device, ring, r29.1, w0.5, g0.107, b50
-4089, 2573, TE, 1550, device, ring, r32.8, w0.5, g0.179, b50
-4259, 2573, TE, 1550, device, ring, r43.6, w0.5, g0.165, b50
-3749, 2573, TE, 1550, device, ring, r31.4, w0.5, g0.145, b50
-3919, 2573, TE, 1550, device, ring, r8.4, w0.5, g0.119, b50
-3749, 1723, TE, 1550, device, ring, r33.5, w0.5, g0.167, b50
-3579, 2403, TE, 1550, device, ring, r43.0, w0.5, g0.124, b50
-3919, 1723, TE, 1550, device, ring, r13.2, w0.5, g0.117, b50
-3749, 2403, TE, 1550, device, ring, r39.2, w0.5, g0.137, b50
-4429, 2063, TE, 1550, device, ring, r7.4, w0.5, g0.125, b50
-4089, 2233, TE, 1550, device, ring, r16.4, w0.5, g0.116, b50
-4259, 2233, TE, 1550, device, ring, r13.8, w0.5, g0.172, b50
-3749, 2233, TE, 1550, device, ring, r26.4, w0.5, g0.167, b50
-3919, 1893, TE, 1550, device, ring, r37.1, w0.5, g0.14, b50
-3919, 2403, TE, 1550, device, ring, r13.1, w0.5, g0.143, b50
-4089, 2403, TE, 1550, device, ring, r15.5, w0.5, g0.133, b50
-4089, 2063, TE, 1550, device, ring, r20.4, w0.5, g0.172, b50
-3919, 2233, TE, 1550, device, ring, r17.7, w0.5, g0.178, b50
-3579, 2573, TE, 1550, device, ring, r29.2, w0.5, g0.143, b50
-4429, 1723, TE, 1550, device, ring, r43.7, w0.5, g0.115, b50
-4429, 2573, TE, 1550, device, ring, r37.3, w0.5, g0.165, b50
-4429, 2233, TE, 1550, device, ring, r18.8, w0.5, g0.158, b50
-4429, 1893, TE, 1550, device, ring, r23.5, w0.5, g0.158, b50
-3579, 1723, TE, 1550, device, ring, r11.1, w0.5, g0.115, b50
-4259, 2063, TE, 1550, device, ring, r42.1, w0.5, g0.142, b50
-4089, 1723, TE, 1550, device, ring, r19.5, w0.5, g0.167, b50
-3579, 2233, TE, 1550, device, ring, r43.5, w0.5, g0.125, b50
-3579, 2063, TE, 1550, device, ring, r15.7, w0.5, g0.149, b50
-4259, 1723, TE, 1550, device, ring, r44.9, w0.5, g0.148, b50
-3749, 2063, TE, 1550, device, ring, r13.2, w0.5, g0.151, b50
-4429, 2403, TE, 1550, device, ring, r41.7, w0.5, g0.16, b50
-4259, 2403, TE, 1550, device, ring, r26.5, w0.5, g0.131, b50
-3749, 1893, TE, 1550, device, ring, r29.7, w0.5, g0.12, b50
-4089, 1893, TE, 1550, device, ring, r9.2, w0.5, g0.167, b50
-3579, 1893, TE, 1550, device, ring, r9.8, w0.5, g0.173, b50
-4259, 1893, TE, 1550, device, ring, r25.1, w0.5, g0.15, b50
-3919, 2063, TE, 1550, device, ring, r49.6, w0.5, g0.153, b50
-5279, 1723, TE, 1550, device, ring, r42.1, w0.5, g0.126, b50
-5109, 1723, TE, 1550, device, ring, r37.9, w0.5, g0.112, b50
-4939, 2233, TE, 1550, device, ring, r33.4, w0.5, g0.155, b50
-4599, 2063, TE, 1550, device, ring, r18.6, w0.5, g0.16, b50
-5279, 2233, TE, 1550, device, ring, r10.1, w0.5, g0.136, b50
-4769, 2573, TE, 1550, device, ring, r23.0, w0.5, g0.119, b50
-4939, 2403, TE, 1550, device, ring, r29.9, w0.5, g0.171, b50
-5109, 2233, TE, 1550, device, ring, r38.8, w0.5, g0.169, b50
-5449, 1893, TE, 1550, device, ring, r26.7, w0.5, g0.148, b50
-5109, 2573, TE, 1550, device, ring, r10.9, w0.5, g0.168, b50
-5449, 1723, TE, 1550, device, ring, r47.3, w0.5, g0.117, b50
-4939, 2573, TE, 1550, device, ring, r15.7, w0.5, g0.133, b50
-4769, 2403, TE, 1550, device, ring, r31.8, w0.5, g0.16, b50
-5279, 2063, TE, 1550, device, ring, r33.4, w0.5, g0.173, b50
-4599, 2403, TE, 1550, device, ring, r46.2, w0.5, g0.13, b50
-4599, 2573, TE, 1550, device, ring, r46.5, w0.5, g0.13, b50
-5279, 2573, TE, 1550, device, ring, r10.4, w0.5, g0.117, b50
